ModelNumber,Pheromone,Avg_Covered,SD_Covered,Avg_Time,SD_Time
0,0.1,0.36382594834681686,0.16644551102225516,96.2494,28.706152644337415
1,0.2,0.5008701015950119,0.19181111888129712,108.2377,33.29769059124071
2,0.30000000000000004,0.6062326843637781,0.19570814055991922,120.9845,36.00743061855428
3,0.4,0.6630340937162238,0.19168041015113163,127.9091,36.594347066042864
4,0.5,0.7032869310115545,0.18762813782654228,134.0984,37.55630063571225
5,0.6,0.7376846875065844,0.18035792275375273,138.7964,38.30897214804907
6,0.7000000000000001,0.7667064409927888,0.1727705557086928,145.1421,36.78023256574107
7,0.8,0.7821514211773901,0.1683694656469506,148.1338,37.04497128572244
8,0.9,0.802867441839335,0.1613690459175948,153.0306,37.00099544120401
9,1.0,0.8142624943988459,0.15857650184496486,155.9569,37.32010774890662
